"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 17:20:39 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","94","","Update Book API Testing","","User updates the details of a book","","User updates the details of a book",""
"failed","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","92","","Delete Book API Testing","","Admin deletes a book with an invalid ID","","Admin deletes a book with an invalid ID",""
"skipped","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","5","","Create Book API Testing","","User creates a book with additional parameter","","User creates a book with additional parameter",""
"passed","Thu Jan 02 17:20:39 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","91","","Delete Book API Testing","","Admin deletes a book with an incorrect ID","","Admin deletes a book with an incorrect ID",""
"skipped","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","3","","Create Book API Testing","","User creates a book with a duplicate title","","User creates a book with a duplicate title",""
"passed","Thu Jan 02 17:20:36 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","1957","","Create Book API Testing","","User creates a book with valid data","","User creates a book with valid data",""
"passed","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","40","","Create Book API Testing","","Un Authenticated Request to create book","","Un Authenticated Request to create book",""
"failed","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","116","","Delete Book API Testing","","Admin deletes a book with a valid ID","","Admin deletes a book with a valid ID",""
"failed","Thu Jan 02 17:20:39 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","101","","Update Book API Testing","","Admin updates the book with missing mandatory fields","","Admin updates the book with missing mandatory fields",""
"failed","Thu Jan 02 17:20:39 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","109","","Delete Book API Testing","","User tries to delete a book","","User tries to delete a book",""
"passed","Thu Jan 02 17:20:39 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","101","","Update Book API Testing","","Admin updates the book with non-existing id","","Admin updates the book with non-existing id",""
"failed","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","111","","Create Book API Testing","","User creates a book without title","","User creates a book without title",""
"broken","Thu Jan 02 17:21:16 GMT 2025","Thu Jan 02 17:21:31 GMT 2025","15058","","remove product from cart","","Remove a product from the cart","","Remove a product from the cart","  As a user
  I want to remove products from the cart
  So that I can update my selection"
"passed","Thu Jan 02 17:21:13 GMT 2025","Thu Jan 02 17:21:16 GMT 2025","3076","","Advanced Search for Products","","Search for a product using advanced search filters","","Search for a product using advanced search filters","  As a user
  I want to search for products using advanced filters
  So that I can find specific products efficiently"
"failed","Thu Jan 02 17:20:39 GMT 2025","Thu Jan 02 17:20:39 GMT 2025","95","","Update Book API Testing","","Admin updates the details of a book","","Admin updates the details of a book",""
"passed","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","105","","Create Book API Testing","","Admin creates a book without author","","Admin creates a book without author",""
"passed","Thu Jan 02 17:21:04 GMT 2025","Thu Jan 02 17:21:13 GMT 2025","8556","","Add product to wish list","","Add a product to the wish list","","Add a product to the wish list","  As a user
  I want to add products to the wish list
  So that I can purchase them later"
"skipped","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","5","","Create Book API Testing","","User creates a book with an empty author and title","","User creates a book with an empty author and title",""
"failed","Thu Jan 02 17:20:38 GMT 2025","Thu Jan 02 17:20:38 GMT 2025","97","","Create Book API Testing","","User creates a book without author","","User creates a book without author",""
"passed","Thu Jan 02 17:20:53 GMT 2025","Thu Jan 02 17:21:04 GMT 2025","11016","","Add product to cart","","Add a single product to the cart","","Add a single product to the cart","  As a user
  I want to add products to the cart 
  So that I can purchase them later"
